RSSI,Data rate
-80,6.52
-80,3.64
-79,2.66
-82,2.70
-79,2.66
-78,2.70
-78,2.74
-79,2.78
-77,2.82
-83,2.93
-81,4.26
-80,4.32
-80,4.38
-78,13.91
-78,17.57
-89,18.95
-89,20.24
-85,22.32
-83,24.11
-83,25.52
-85,28.60
-89,31.79
-85,35.77
-83,40.02
-81,40.54
-81,40.29
-86,40.28
-84,41.02
-77,41.27
-79,40.32
-77,41.70
-84,41.79
-82,42.29
-86,41.55
-96,41.68
-88,41.78
-77,41.49
-77,41.62
-78,41.77
-82,41.45
-80,41.59
-78,42.13
-84,42.50
-84,41.77
-92,41.32
-91,41.56
-78,41.62
-82,41.80
-91,41.49
-94,41.63
-83,41.74
-84,41.71
-81,42.44
-85,41.69
-77,41.37
-82,41.48
-94,41.58
-88,32.77
-91,35.12
-94,40.09
-78,40.74
-82,41.32
-84,40.78
-85,41.13
-86,40.82
-87,40.97
-87,41.02
-80,40.93
-77,40.90
-87,40.80
-79,41.83
-88,37.54
-87,42.57
-97,37.06
-92,36.49
-91,41.59
-84,41.53
-82,41.32
-94,33.52
-86,33.46
-88,33.83
-87,30.30
-83,33.60
-75,37.18
-78,41.89
-81,42.04
-80,42.27
-77,42.07
-77,42.15
-85,42.29
-86,41.51
-80,42.44
-83,38.76
-78,41.45
-80,41.85
-83,42.00
-77,42.25
-82,41.96
-95,38.61
-99,38.48
-100,43.73
-77,43.90
-93,44.48
-86,43.60
-80,43.71
-77,43.94
-80,43.59
-81,43.74
-91,43.86
-74,43.51
-80,43.64
-93,43.85
-78,43.90
-78,37.50
-83,43.72
-88,43.91
-79,43.55
-78,43.51
-81,43.92
-89,43.40
-89,42.12
-92,41.80
-90,38.31
-84,41.55
-100,38.16
-86,41.66
-91,41.72
-80,41.72
-94,41.98
-81,33.44
-81,44.41
-82,43.80
-98,43.67
-91,39.84
-91,43.76
-85,23.23
-91,23.20
-93,23.21
-88,22.05
-90,23.21
-79,23.22
-93,23.94
-88,22.78
-95,22.03
-92,23.85
-89,23.85
-88,23.93
-92,23.80
-82,23.86
-77,24.19
-80,24.15
-83,23.87
-77,23.89
-76,23.90
-89,22.91
-95,21.58
-86,23.41
-95,23.80
-77,23.89
-89,24.22
-90,23.87
-81,22.83
-77,23.92
-83,23.91
-77,23.89
-81,23.89
-79,23.83
-80,23.60
-88,23.56
-78,22.20
-82,22.97
-82,21.70
-78,22.31
-89,23.77
-91,23.81
-86,23.85
-88,23.75
-86,23.76
-77,23.82
-87,24.00
-78,22.85
-83,20.20
-84,19.67
-84,22.71
-86,23.22
-79,23.64
-77,22.56
-85,22.23
-78,23.76
-80,23.73
-79,23.76
-77,23.80
-86,23.83
-83,23.75
-81,23.78
-79,23.83
-76,23.71
-75,23.73
-77,23.80
-86,23.46
-78,23.75
-78,23.29
-77,23.73
-82,23.90
-81,23.94
-78,23.83
